神護景雲四年（庚戌）,一月※,二月,三月※,四月※,五月,六月※,七月※,八月,九月※,十月,十一月,十二月,
ユリウス暦,770/2/1,3月2日,4月1日,4月30日,5月29日,6月28日,7月27日,8月25日,9月24日,10月23日,11月22日,12月22日,
宝亀元年（庚戌）,一月※,二月,三月※,四月※,五月,六月※,七月※,八月,九月※,十月,十一月,十二月,
ユリウス暦,770/2/1,3月2日,4月1日,4月30日,5月29日,6月28日,7月27日,8月25日,9月24日,10月23日,11月22日,12月22日,
宝亀二年（辛亥）,一月※,二月,三月,閏三月※,四月※,五月,六月※,七月※,八月,九月※,十月,十一月,十二月※
ユリウス暦,771/1/21,2月19日,3月21日,4月20日,5月19日,6月17日,7月17日,8月15日,9月13日,10月13日,11月11日,12月11日,772/1/10
宝亀三年（壬子）,一月,二月,三月※,四月,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月,
ユリウス暦,772/2/8,3月9日,4月8日,5月7日,6月6日,7月5日,8月4日,9月2日,10月1日,10月31日,11月29日,12月29日,
宝亀四年（癸丑）,一月※,二月,三月※,四月,五月,六月※,七月,八月※,九月,十月※,十一月※,閏十一月,十二月
ユリウス暦,773/1/28,2月26日,3月28日,4月26日,5月26日,6月25日,7月24日,8月23日,9月21日,10月21日,11月19日,12月18日,774/1/17
宝亀五年（甲寅）,一月※,二月,三月※,四月,五月※,六月,七月,八月※,九月,十月※,十一月※,十二月,
ユリウス暦,774/2/16,3月17日,4月16日,5月15日,6月14日,7月13日,8月12日,9月11日,10月10日,11月9日,12月8日,775/1/6,
宝亀六年（乙卯）,一月※,二月,三月※,四月,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
ユリウス暦,775/2/5,3月6日,4月5日,5月4日,6月3日,7月3日,8月1日,8月31日,9月30日,10月29日,11月28日,12月27日,
宝亀七年（丙辰）,一月※,二月※,三月,四月※,五月,六月※,七月,八月,閏八月※,九月,十月,十一月※,十二月
ユリウス暦,776/1/26,2月24日,3月24日,4月23日,5月22日,6月21日,7月20日,8月19日,9月18日,10月17日,11月16日,12月16日,777/1/14
宝亀八年（丁巳）,一月※,二月,三月※,四月※,五月,六月※,七月※,八月,九月,十月,十一月※,十二月,
ユリウス暦,777/2/13,3月14日,4月13日,5月12日,6月10日,7月10日,8月8日,9月6日,10月6日,11月5日,12月5日,778/1/3,
宝亀九年（戊午）,一月,二月※,三月,四月,五月※,六月※,七月※,八月※,九月,十月,十一月,十二月※,
ユリウス暦,778/2/2,3月4日,4月2日,5月2日,6月1日,6月30日,7月29日,8月27日,9月25日,10月25日,11月24日,12月24日,
宝亀十年（己未）,一月,二月,三月※,四月,五月※,閏五月※,六月※,七月,八月※,九月,十月,十一月,十二月
ユリウス暦,779/1/22,2月21日,3月23日,4月21日,5月21日,6月19日,7月18日,8月16日,9月15日,10月14日,11月13日,12月13日,780/1/12
宝亀十一年（庚申）,一月※,二月,三月※,四月※,五月,六月※,七月※,八月,九月※,十月,十一月,十二月,
